dummy,o:item,Media Tile,dcterms:identifier,dcterms:date,dcterms:creator,,,dcterms:subject,dcterms:subject
,1,https://ldas.jp/omeka/test/files/import/No.1/0001-01.JPG,0001-01,2018/4/9,N. Fukami,mosque,exterior,S Gate from S,façade
,1,https://ldas.jp/omeka/test/files/import/No.1/0001-02.JPG,0001-02,2018/4/9,N. Fukami,mosque,interior,S Gate from S,detail
,1,https://ldas.jp/omeka/test/files/import/No.1/0001-03.JPG,0001-03,2018/4/9,N. Fukami,mosque,exterior,S Wall and S Gate from W,
,1,https://ldas.jp/omeka/test/files/import/No.1/0001-04.JPG,0001-04,2018/4/9,N. Fukami,mosque,exterior,W Gate from S,
,1,https://ldas.jp/omeka/test/files/import/No.1/0001-05.JPG,0001-05,2018/4/9,N. Fukami,mosque,interior,W Gate from W,detail
,1,https://ldas.jp/omeka/test/files/import/No.1/0001-06.JPG,0001-06,2018/4/9,N. Fukami,mosque,exterior,wall with double perforated work,detail
,1,https://ldas.jp/omeka/test/files/import/No.1/0001-07.JPG,0001-07,2018/4/9,N. Fukami,mosque,exterior,W Wall and W Gate from NW corner,
,1,https://ldas.jp/omeka/test/files/import/No.1/0001-08.JPG,0001-08,2018/4/9,N. Fukami,mosque,exterior,N Gate from N,detail
,1,https://ldas.jp/omeka/test/files/import/No.1/0001-09.JPG,0001-09,2018/4/9,N. Fukami,mosque,exterior,E Wall from NE corner,
,1,https://ldas.jp/omeka/test/files/import/No.1/0001-10.JPG,0001-10,2018/4/9,N. Fukami,mosque,exterior/interior,E Wall from E,
,3,https://ldas.jp/omeka/test/files/import/No.3/0003-01.JPG,0003-01,2017/12/20,N. Fukami,"mausoleum, minaret",exterior,minaret from NE,façade
,3,https://ldas.jp/omeka/test/files/import/No.3/0003-02.JPG,0003-02,2017/12/20,N. Fukami,"mausoleum, minaret",exterior,minaret from N,detail
,3,https://ldas.jp/omeka/test/files/import/No.3/0003-03.JPG,0003-03,2017/12/20,N. Fukami,"mausoleum, minaret",distant view,street from E,around
,3,https://ldas.jp/omeka/test/files/import/No.3/0003-04.JPG,0003-04,2017/12/20,N. Fukami,"mausoleum, minaret",exterior,minaret and mausoleum from NW,
,3,https://ldas.jp/omeka/test/files/import/No.3/0003-05.JPG,0003-05,2017/12/20,N. Fukami,"mausoleum, minaret",exterior,minaret and mausoleum from NW,
,3,https://ldas.jp/omeka/test/files/import/No.3/0003-06.JPG,0003-06,2017/12/20,N. Fukami,"mausoleum, minaret",exterior,minaret and mausoleum from NW,
,3,https://ldas.jp/omeka/test/files/import/No.3/0003-07.JPG,0003-07,2017/12/20,N. Fukami,"mausoleum, minaret",exterior,mausoleum from NW,
